Date,Adj Close,Close,High,Low,Open,Volume
2003-09-29,49.58770751953125,102.16999816894533,102.3000030517578,102.0999984741211,102.29000091552734,13600.0
2003-09-30,49.844932556152344,102.6999969482422,102.73999786376952,102.29000091552734,102.3000030517578,62600.0
2003-10-01,49.82069396972656,102.6500015258789,102.75,102.5999984741211,102.63999938964844,66300.0
2003-10-02,49.74300384521485,102.48999786376952,102.6500015258789,102.01000213623048,102.1999969482422,68900.0
2003-10-03,49.38386535644531,101.75,102.0500030517578,101.6999969482422,102.0500030517578,64500.0
2003-10-06,49.456695556640625,101.9000015258789,101.98999786376952,101.5999984741211,101.63999938964844,28700.0
2003-10-07,49.286808013916016,101.5500030517578,101.94000244140624,101.37999725341795,101.94000244140624,13000.0
2003-10-08,49.408145904541016,101.8000030517578,102.0500030517578,101.27999877929688,101.48999786376952,42700.0
2003-10-09,49.233402252197266,101.44000244140624,101.5,101.0999984741211,101.38999938964844,35900.0
2003-10-10,49.50517654418945,102.0,102.0500030517578,101.68000030517578,101.68000030517578,13500.0
2003-10-13,49.286808013916016,101.5500030517578,102.0999984741211,101.5500030517578,102.0,23700.0
2003-10-14,49.18971633911133,101.3499984741211,101.58999633789062,101.13999938964844,101.44000244140624,54300.0
2003-10-15,49.068359375,101.0999984741211,101.23999786376952,100.9000015258789,101.18000030517578,23100.0
2003-10-16,48.93736267089844,100.83000183105467,101.5500030517578,100.5500030517578,101.38999938964844,62300.0
2003-10-17,49.17034149169922,101.30999755859376,101.30999755859376,100.75,101.04000091552734,55600.0
2003-10-20,49.14119720458984,101.25,101.47000122070312,101.13999938964844,101.13999938964844,12900.0
2003-10-21,49.2382698059082,101.4499969482422,101.7300033569336,101.38999938964844,101.38999938964844,49000.0
2003-10-22,49.456695556640625,101.9000015258789,101.9499969482422,101.51000213623048,101.75,25400.0
2003-10-23,49.335323333740234,101.6500015258789,101.87000274658205,101.6500015258789,101.83999633789062,20700.0
2003-10-24,49.578025817871094,102.1500015258789,102.1500015258789,101.8000030517578,101.8000030517578,28200.0
2003-10-27,49.48095703125,101.9499969482422,102.12000274658205,101.8000030517578,102.04000091552734,35400.0
2003-10-28,49.67505645751953,102.3499984741211,102.3499984741211,101.8000030517578,101.8000030517578,16600.0
2003-10-29,49.456695556640625,101.9000015258789,102.0999984741211,101.9000015258789,102.08000183105467,71700.0
2003-10-30,49.456695556640625,101.9000015258789,101.95999908447266,101.77999877929688,101.79000091552734,17300.0
2003-10-31,49.379024505615234,101.73999786376952,101.9000015258789,101.4000015258789,101.9000015258789,31000.0
2003-11-03,49.29086685180664,101.1999969482422,101.41999816894533,101.1999969482422,101.33000183105467,56700.0
2003-11-04,49.3882942199707,101.4000015258789,101.58000183105467,101.4000015258789,101.4499969482422,26900.0
2003-11-05,49.3882942199707,101.4000015258789,101.56999969482422,101.4000015258789,101.5,24600.0
2003-11-06,49.1203498840332,100.8499984741211,101.19000244140624,100.8499984741211,101.18000030517578,78000.0
2003-11-07,49.14475631713867,100.9000015258789,100.9000015258789,100.5500030517578,100.69000244140624,33400.0
2003-11-10,49.23727035522461,101.08999633789062,101.13999938964844,100.91000366210938,101.08000183105467,21100.0
2003-11-11,49.14958953857422,100.91000366210938,101.1999969482422,100.80999755859376,101.18000030517578,23700.0
2003-11-12,49.24211502075195,101.0999984741211,101.33999633789062,100.80999755859376,101.04000091552734,16400.0
2003-11-13,49.60260391235352,101.83999633789062,101.91000366210938,101.52999877929688,101.52999877929688,25400.0
2003-11-14,49.64155197143555,101.91999816894533,102.16000366210938,101.88999938964844,101.91999816894533,18800.0
2003-11-17,49.8509635925293,102.3499984741211,102.41999816894533,102.18000030517578,102.22000122070312,48800.0
2003-11-18,49.82665252685547,102.3000030517578,102.3499984741211,102.0500030517578,102.12999725341795,26800.0
2003-11-19,49.59284591674805,101.81999969482422,102.3000030517578,101.81999969482422,102.27999877929688,44900.0
2003-11-20,49.7633056640625,102.16999816894533,102.26000213623048,101.94000244140624,102.0,21400.0
2003-11-21,49.8169059753418,102.27999877929688,102.44000244140624,102.20999908447266,102.33999633789062,66500.0
2003-11-24,49.60747528076172,101.8499984741211,102.13999938964844,101.8499984741211,102.08999633789062,37000.0
2003-11-25,49.80228805541992,102.25,102.25,101.77999877929688,101.77999877929688,54000.0
2003-11-26,49.62205123901367,101.87999725341795,102.13999938964844,101.87999725341795,102.08000183105467,25300.0
2003-11-28,49.54414749145508,101.72000122070312,101.75,101.72000122070312,101.75,22900.0
2003-12-01,49.408390045166016,101.16999816894533,101.31999969482422,101.0,101.1500015258789,58700.0
2003-12-02,49.393707275390625,101.13999938964844,101.1500015258789,100.5999984741211,100.83999633789062,52100.0
2003-12-03,49.44253158569336,101.23999786376952,101.3499984741211,100.9000015258789,100.9000015258789,32400.0
2003-12-04,49.51582336425781,101.38999938964844,101.5,101.0500030517578,101.13999938964844,25200.0
2003-12-05,49.7649040222168,101.9000015258789,101.9000015258789,101.51000213623048,101.88999938964844,42200.0
2003-12-08,49.7649040222168,101.9000015258789,102.04000091552734,101.80999755859376,101.98999786376952,67200.0
2003-12-09,49.486515045166016,101.33000183105467,102.0999984741211,101.20999908447266,102.04000091552734,87900.0
2003-12-10,49.6818962097168,101.7300033569336,101.75,101.5999984741211,101.73999786376952,120500.0
2003-12-11,49.8576545715332,102.08999633789062,102.13999938964844,101.4000015258789,101.58999633789062,91600.0
2003-12-12,49.88697814941406,102.1500015258789,102.33999633789062,101.9499969482422,102.23999786376952,16400.0
2003-12-15,49.8576545715332,102.08999633789062,102.25,101.8499984741211,102.1999969482422,21100.0
2003-12-16,49.88697814941406,102.1500015258789,102.19000244140624,101.9000015258789,102.0999984741211,61500.0
2003-12-17,50.009071350097656,102.4000015258789,102.5500030517578,102.16000366210938,102.44000244140624,23100.0
2003-12-18,50.08229446411133,102.5500030517578,102.63999938964844,102.20999908447266,102.4499969482422,33400.0
2003-12-19,50.10676574707031,102.5999984741211,102.5999984741211,102.36000061035156,102.54000091552734,26500.0
2003-12-22,50.08229446411133,102.5500030517578,102.8000030517578,102.2699966430664,102.69000244140624,139700.0
2003-12-23,49.88697814941406,102.1500015258789,102.5,102.1500015258789,102.38999938964844,80300.0
2003-12-24,49.92607498168945,102.2300033569336,102.48999786376952,102.11000061035156,102.33999633789062,16200.0
2003-12-26,50.17509078979492,102.73999786376952,102.73999786376952,102.30999755859376,102.58999633789062,54500.0
2003-12-29,50.05301284790039,102.48999786376952,102.5999984741211,102.16000366210938,102.5,37600.0
2003-12-30,49.96022415161133,102.3000030517578,102.38999938964844,102.08000183105467,102.29000091552734,33800.0
2003-12-31,50.029296875,102.1500015258789,102.1500015258789,102.0,102.0,51900.0
2004-01-02,49.74524688720703,101.56999969482422,102.19000244140624,101.3499984741211,102.1500015258789,26100.0
2004-01-05,49.803977966308594,101.69000244140624,101.69000244140624,101.3000030517578,101.54000091552734,63600.0
2004-01-06,50.029296875,102.1500015258789,102.19000244140624,101.76000213623048,101.94000244140624,151800.0
2004-01-07,50.14190673828125,102.37999725341795,102.4499969482422,102.1500015258789,102.1999969482422,75200.0
2004-01-08,50.12722396850586,102.3499984741211,102.5,102.12000274658205,102.1999969482422,39800.0
2004-01-09,50.54352188110352,103.1999969482422,103.2699966430664,102.91000366210938,103.13999938964844,49800.0
2004-01-12,50.40149688720703,102.91000366210938,103.25,102.9000015258789,103.1999969482422,67600.0
2004-01-13,50.519012451171875,103.1500015258789,103.18000030517578,102.9000015258789,103.04000091552734,21700.0
2004-01-14,50.51412582397461,103.13999938964844,103.23999786376952,103.0500030517578,103.0500030517578,14100.0
2004-01-15,50.57783508300781,103.2699966430664,103.3499984741211,103.0,103.3499984741211,32600.0
